ID,Simplified,Traditional,Pinyin,POS,Level,WebNo,WebPinyin,OCR,Variants,CEDICT
L1-0178,姐姐|姐,姐姐|姐,jiějie|jiě,N,1,4205,jiějie|jiě,姐姐｜姐,"[{""Simplified"": ""姐姐"", ""Pinyin"": ""jiějie"", ""POS"": ""N"", ""Traditional"": ""姐姐"", ""CEDICT"": ""姐姐|姐姐[jie3 jie5]""}, {""Simplified"": ""姐"", ""Pinyin"": ""jiě"", ""POS"": ""N"", ""Traditional"": ""姐"", ""CEDICT"": ""姐|姐[jie3]""}]",姐姐|姐姐[jie3 jie5]
L1-0179,介绍,介紹,jièshào,V,1,4225,jièshào,介绍,,介紹|介绍[jie4 shao4]
L1-0180,今年,今年,jīnnián,N,1,4247,jīnnián,今年,,今年|今年[jin1 nian2]
L1-0181,今天,今天,jīntiān,N,1,4249,jīntiān,今天,,今天|今天[jin1 tian1]
L1-0182,进,進,jìn,V,1,4287,jìn,进,,進|进[jin4]
L1-0183,进来,進來,jìnlái,,1,4298,jìn∥·lái,进来,,進來|进来[jin4 lai2]
L1-0184,进去,進去,jìnqù,,1,4299,jìn∥·qù,进去,,進去|进去[jin4 qu4]
L1-0185,九,九,jiǔ,Num,1,4423,jiǔ,九,,九|九[jiu3]
L1-0186,就,就,jiù,Adv,1,4443,jiù,就,,就|就[jiu4]
L1-0187,觉得,覺得,juéde,V,1,4544,juéde,觉得,,覺得|觉得[jue2 de5]
L1-0188,开,開,kāi,V,1,4575,kāi,开,,開|开[kai1]
L1-0189,开车,開車,kāichē,,1,4580,kāi∥chē,开车,,開車|开车[kai1 che1]
L1-0190,开会,開會,kāihuì,,1,4591,kāi∥huì,开会,,開會|开会[kai1 hui4]
L1-0191,开玩笑,開玩笑,kāi wánxiào,,1,4609,kāi wánxiào,开玩笑,,開玩笑|开玩笑[kai1 wan2 xiao4]
L1-0192,看,看,kàn,V,1,4629,kàn,看,,看|看[kan4]
L1-0193,看病,看病,kànbìng,,1,4630,kàn∥bìng,看病,,看病|看病[kan4 bing4]
L1-0194,看到,看到,kàndào,,1,4635,kàndào,看到,,看到|看到[kan4 dao4]
L1-0195,看见,看見,kànjiàn,,1,4641,kàn∥jiàn,看见,,看見|看见[kan4 jian4]
L1-0196,考,考,kǎo,V,1,4661,kǎo,考,,考|考[kao3]
L1-0197,考试,考試,kǎoshì,,1,4668,kǎo∥shì,考试,,考試|考试[kao3 shi4]
L1-0198,渴,渴,kě,Adj,1,4717,kě,渴,,渴|渴[ke3]
L1-0199,课,課,kè,N,1,4738,kè,课,,課|课[ke4]
L1-0200,课本,課本,kèběn,N,1,4739,kèběn,课本,,課本|课本[ke4 ben3]
L1-0201,课文,課文,kèwén,N,1,4743,kèwén,课文,,課文|课文[ke4 wen2]
L1-0202,口,口,kǒu,M/N,1,4774,kǒu,口,,口|口[kou3]
L1-0203,块,塊,kuài,N/M,1,4828,kuài,块,,塊|块[kuai4]
L1-0204,快,快,kuài,Adj/Adv,1,4829,kuài,快,,快|快[kuai4]
L1-0205,来,來,lái,V,1,4899,lái,来,,來|来[lai2]
L1-0206,来到,來到,láidào,V,1,4902,láidào,来到,,來到|来到[lai2 dao4]
L1-0207,老,老,lǎo,Adj,1,4951,lǎo,老（形）,,老|老[lao3]
L1-0208,老人,老人,lǎorén,N,1,4965,lǎorén,老人,,老人|老人[lao3 ren2]
L1-0209,老师,老師,lǎoshī,N,1,4967,lǎoshī,老师,,老師|老师[lao3 shi1]
L1-0210,了,了,le,Aux,1,4984,le,了,,了|了[le5]
L1-0211,累,累,lèi,Adj,1,4995,lèi,累,,累|累[lei4]
L1-0212,冷,冷,lěng,Adj,1,4997,lěng,冷,,冷|冷[leng3]
L1-0213,里,裡|裏,lǐ,N,1,5029,lǐ,里,,裡|里[li3]/裏|里[li3]
L1-0214,里边,裡邊,lǐbian,N,1,5030,lǐbian,里边,,裡邊|里边[li3 bian5]
L1-0215,两,兩,liǎng,Num,1,5139,liǎng,两（数）,,兩|两[liang3]
L1-0216,零|〇,零|〇,líng|líng,Num,1,5204,líng|líng,零｜〇,"[{""Simplified"": ""零"", ""Pinyin"": ""líng"", ""POS"": ""Num"", ""Traditional"": ""零"", ""CEDICT"": ""零|零[ling2]""}, {""Simplified"": ""〇"", ""Pinyin"": ""líng"", ""POS"": ""Num"", ""Traditional"": ""〇"", ""CEDICT"": ""〇|〇[ling2]""}]",零|零[ling2]
L1-0217,六,六,liù,Num,1,5268,liù,六,,六|六[liu4]
L1-0218,楼,樓,lóu,N,1,5279,lóu,楼,,樓|楼[lou2]
L1-0219,楼上,樓上,lóu shàng,,1,5282,lóu shàng,楼上,,樓上|楼上[lou2 shang4]
L1-0220,楼下,樓下,lóu xià,,1,5284,lóu xià,楼下,,樓下|楼下[lou2 xia4]
L1-0221,路,路,lù,N/M,1,5305,lù,路,,路|路[lu4]
L1-0222,路口,路口,lùkǒu,N,1,5311,lùkǒu,路口,,路口|路口[lu4 kou3]
L1-0223,路上,路上,lùshang,N,1,5315,lùshang,路上,,路上|路上[lu4 shang5]
