ID,Simplified,Traditional,Pinyin,POS,Level,WebNo,WebPinyin,OCR,Variants,CEDICT
L1-0275,牛奶,牛奶,niúnǎi,N,1,5891,niúnǎi,牛奶,,牛奶|牛奶[niu2 nai3]
L1-0276,女,女,nǚ,Adj,1,5916,nǚ,女,,女|女[nu:3]
L1-0277,女儿,女兒,nǚ'ér,N,1,5917,nǚ'ér,女儿,,女兒|女儿[nu:3 er2]
L1-0278,女孩儿,女孩兒,nǚháir,N,1,5918,nǚháir,女孩儿,,女孩兒|女孩儿[nu:3 hai2 r5]
L1-0279,女朋友,女朋友,nǚpéngyou,N,1,5919,nǚpéngyou,女朋友,,女朋友|女朋友[nu:3 peng2 you5]
L1-0280,女人,女人,nǚrén,N,1,5920,nǚrén,女人,,女人|女人[nu:3 ren2]
L1-0281,女生,女生,nǚshēng,N,1,5921,nǚshēng,女生,,女生|女生[nu:3 sheng1]
L1-0282,旁边,旁邊,pángbiān,N,1,5985,pángbiān,旁边,,旁邊|旁边[pang2 bian1]
L1-0283,跑,跑,pǎo,V,1,5993,pǎo,跑,,跑|跑[pao3]
L1-0284,朋友,朋友,péngyou,N,1,6028,péngyou,朋友,,朋友|朋友[peng2 you5]
L1-0285,票,票,piào,N,1,6089,piào,票,,票|票[piao4]
L1-0286,七,七,qī,Num,1,6197,qī,七,,七|七[qi1]
L1-0287,起,起,qǐ,V,1,6250,qǐ,起,,起|起[qi3]
L1-0288,起床,起床,qǐchuáng,,1,6255,qǐ∥chuáng,起床,,起床|起床[qi3 chuang2]
L1-0289,起来,起來|起來,qǐlái,,1,6261,qǐ∥·lái,起来,,起來|起来[qi3 lai5]/起來|起来[qi5 lai5]
L1-0290,汽车,汽車,qìchē,N,1,6285,qìchē,汽车,,汽車|汽车[qi4 che1]
L1-0291,前,前,qián,N,1,6333,qián,前,,前|前[qian2]
L1-0292,前边,前邊,qiánbian,N,1,6335,qiánbian,前边,,前邊|前边[qian2 bian5]
L1-0293,前天,前天,qiántiān,N,1,6350,qiántiān,前天,,前天|前天[qian2 tian1]
L1-0294,钱,錢,qián,N,1,6361,qián,钱,,錢|钱[qian2]
L1-0295,钱包,錢包,qiánbāo,N,1,6362,qiánbāo,钱包,,錢包|钱包[qian2 bao1]
L1-0296,请,請,qǐng,V,1,6519,qǐng,请,,請|请[qing3]
L1-0297,请假,請假,qǐngjià,,1,6520,qǐng∥jià,请假,,請假|请假[qing3 jia4]
L1-0298,请进,請進,qǐng jìn,,1,6523,qǐng jìn,请进,,請進|请进[qing3 jin4]
L1-0299,请问,請問,qǐngwèn,V,1,6527,qǐngwèn,请问,,請問|请问[qing3 wen4]
L1-0300,请坐,請坐,qǐng zuò,,1,6528,qǐng zuò,请坐,,請坐|请坐[qing3 zuo4]
